Pause  T FF  Count_Out 0_Count	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32
0	0	000	0	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
0	0	009	0	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
0	0	00a	0	fe	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
0	0	00b	0	92	fe	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
0	0	00c	0	92	92	fe	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
0	0	00d	0	6c	92	92	fe	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
0	0	041	0	00	6c	92	92	fe	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
0	0	042	0	82	00	6c	92	92	fe	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
0	0	043	0	fe	82	00	6c	92	92	fe	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
0	0	044	0	82	fe	82	00	6c	92	92	fe	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
0	0	099	0	00	82	fe	82	00	6c	92	92	fe	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
0	0	09a	0	80	00	82	fe	82	00	6c	92	92	fe	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
0	0	09b	0	fe	80	00	82	fe	82	00	6c	92	92	fe	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
0	0	09c	0	80	fe	80	00	82	fe	82	00	6c	92	92	fe	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
0	0	091	0	00	80	fe	80	00	82	fe	82	00	6c	92	92	fe	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
0	0	092	0	f2	00	80	fe	80	00	82	fe	82	00	6c	92	92	fe	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
0	0	093	0	92	f2	00	80	fe	80	00	82	fe	82	00	6c	92	92	fe	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
0	0	094	0	9e	92	f2	00	80	fe	80	00	82	fe	82	00	6c	92	92	fe	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
